timestamp,seq,x_force,y_force,z_force,x_torque,y_torque,z_torque
0,0,0.06503875404080203,0.010092951665505964,0.01630476671626425,-0.00016074446157919142,-0.017242860219818645,-4.279114846075383e-05
0,0,0.4102983753148621,0.06395975346202107,0.10266762766702658,-0.0010149225295353634,-0.10874362127013068,-0.00027146430516275196
0,0,1.1852185073654256,0.18600423493020357,0.2957556971461885,-0.002935909490686487,-0.3139864970172128,-0.0007908638647236168
0,0,2.1268564744809133,0.3371522493959905,0.5285443497394682,-0.005281075162544359,-0.5630856526293497,-0.0014378889649787326
1691682871592991367,90413,2.7465943988324053,0.4418474795398322,0.6784417544342584,-0.0068479164596365934,-0.7264954708762021,-0.0018941212431312566
1691682871600820482,90414,2.8489302802082697,0.4676211804575083,0.697959734987195,-0.007151252849133634,-0.7525757189660756,-0.0020204705066403797
1691682871610589193,90415,2.6435738353759675,0.44418563331169386,0.6417364263481016,-0.006702035321588408,-0.6970555328946908,-0.0019368311736739792
1691682871620651227,90416,2.4438410659009024,0.418839469120016,0.5894799134958666,-0.006268191983333425,-0.642915253175135,-0.001834923319452142
1691682871630495799,90417,2.3993427206853175,0.41542008785437645,0.5784255925496389,-0.00621875924403444,-0.6296648411499888,-0.0018086709351228304
1691682871640631685,90418,2.469303743425283,0.42895870972342626,0.5970071077722653,-0.006458084459339883,-0.6465015183945408,-0.0018352682574983544
1691682871650523019,90419,2.5477727443704277,0.443767554412382,0.6170480464551964,-0.006731237771760923,-0.6655675513009341,-0.0018533323095664292
1691682871661570109,90420,2.574729004700147,0.4503939084552912,0.6225882711109219,-0.006893922508395676,-0.6712944966621884,-0.0018335520457716011
1691682871670533640,90421,2.5576403135846557,0.4497409192833819,0.6160031019668051,-0.006963613506614472,-0.6659353878259483,-0.0017906057007032496
1691682871680569865,90422,2.5322255363490016,0.4476883010038212,0.607948942136094,-0.00702220642723839,-0.6589841811406828,-0.001753203381874802
1691682871690663312,90423,2.5221676132170385,0.44850584477709166,0.6060040070880044,-0.007117175757569782,-0.6564297171304083,-0.0017355902045336632
1691682871702536420,90424,2.5281721545639337,0.4522718571582375,0.6106890538408414,-0.007238838352596341,-0.657992397154919,-0.0017339678122897772
1691682871710952188,90425,2.5394872994594206,0.4565534711813366,0.6184640073016574,-0.00735575563854407,-0.66044844446713,-0.001738663319010017
1691682871720398831,90426,2.5477610306105736,0.4594449577013707,0.6264719576126078,-0.007451891611341647,-0.6615150772550107,-0.0017433565664139597
1691682871730537964,90427,2.5517153676989026,0.4609468119177585,0.6344055528477766,-0.007533045079449154,-0.6610965753412711,-0.0017464830546727239
1691682871740776422,90428,2.5539998033750626,0.4620624778222472,0.6429707420755949,-0.007609944178779494,-0.6602666834276099,-0.001749962681132435
1691682871750662479,90429,2.5568083363944227,0.4632176177634427,0.6519651502617287,-0.007680895137830811,-0.6598757278040471,-0.00175642839008629
1691682871761156546,90430,2.5603458624621447,0.4635808222074995,0.6603976135122099,-0.007727410281333009,-0.6600136608894001,-0.0017642735728810844
1691682871770472862,90431,2.5637727180249263,0.4616213507176861,0.6677793868083677,-0.007723902945697877,-0.6603114892833212,-0.0017663530379747484
1691682871780645350,90432,2.5664261985081693,0.4563286983328417,0.6744847956582415,-0.007654388484424887,-0.6604453608102188,-0.0017566373056362697
1691682871790510333,90433,2.5682859541721057,0.4480188930162045,0.6810413904816439,-0.007522527589827533,-0.6603624198408459,-0.0017364566303183485
1691682871802240931,90434,2.56989930563713,0.43794678644096346,0.6876798532951148,-0.0073468267851595674,-0.6601894159113266,-0.0017110732753999947
1691682871810703513,90435,2.5718196701956755,0.42728094037964776,0.6944208745160104,-0.00714924269451,-0.660050283176068,-0.0016830889831422387
1691682871820686843,90436,2.573782989104977,0.416673912604039,0.7009710178945183,-0.006948441841059656,-0.6599805018910452,-0.0016542076836403633
1691682871830532276,90437,2.574617090605765,0.4065851792511103,0.7065221716031485,-0.006756875258318268,-0.6599530423174604,-0.0016316404945302598
1691682871841848770,90438,2.57322052549323,0.39749855881408963,0.7101085911047508,-0.006578864656631242,-0.659935119471362,-0.0016272293526042169
1691682871850612019,90439,2.5695562687060085,0.38969372782326517,0.7112203809848305,-0.006413811150094334,-0.6599171897695598,-0.0016497066005788654
1691682871860500969,90440,2.564754027590679,0.3830442281028097,0.7098996950913365,-0.0062632778208606965,-0.6599079288935737,-0.0017000299880991826
1691682871870529156,90441,2.5604728971360093,0.377146098911198,0.7064636472602985,-0.00613192689433332,-0.6599150439999607,-0.0017729333037929539
1691682871880784065,90442,2.558111992338346,0.3715889754031508,0.7014243511703732,-0.006020097295612228,-0.6599328572757978,-0.001860666969975295
1691682871890471909,90443,2.5583865754832242,0.3661321890490752,0.6955090021979974,-0.005918597627846038,-0.6599446805497922,-0.0019559721207592987
1691682871900897016,90444,2.561441573350146,0.3607175708065639,0.6894922601012251,-0.005814030438709341,-0.6599337037445204,-0.0020538395763055445
1691682871910492308,90445,2.5671213983476906,0.3554224334612065,0.6840395410198653,-0.005700398868995514,-0.6598926051286255,-0.00215172006848215
1691682871920558697,90446,2.5749177576128934,0.35046690845875994,0.6797597248089216,-0.005585163214296621,-0.6598271311671329,-0.0022469878650932
1691682871930489598,90447,2.583736400570234,0.34616345722172936,0.6772206534661788,-0.005483233780590333,-0.6597531106719524,-0.0023335476034382903
1691682871943998452,90448,2.592076931112768,0.3427116904768135,0.6766933498923542,-0.0054062993999459815,-0.6596895372204044,-0.0024031381930972678
