__time,/hsrb/joint_states/arm_flex_joint/effort,/hsrb/joint_states/arm_flex_joint/position,/hsrb/joint_states/arm_flex_joint/velocity,/hsrb/joint_states/arm_lift_joint/effort,/hsrb/joint_states/arm_lift_joint/position,/hsrb/joint_states/arm_lift_joint/velocity,/hsrb/joint_states/arm_roll_joint/effort,/hsrb/joint_states/arm_roll_joint/position,/hsrb/joint_states/arm_roll_joint/velocity,/hsrb/joint_states/base_l_drive_wheel_joint/effort,/hsrb/joint_states/base_l_drive_wheel_joint/position,/hsrb/joint_states/base_l_drive_wheel_joint/velocity,/hsrb/joint_states/base_r_drive_wheel_joint/effort,/hsrb/joint_states/base_r_drive_wheel_joint/position,/hsrb/joint_states/base_r_drive_wheel_joint/velocity,/hsrb/joint_states/base_roll_joint/effort,/hsrb/joint_states/base_roll_joint/position,/hsrb/joint_states/base_roll_joint/velocity,/hsrb/joint_states/hand_l_spring_proximal_joint/effort,/hsrb/joint_states/hand_l_spring_proximal_joint/position,/hsrb/joint_states/hand_l_spring_proximal_joint/velocity,/hsrb/joint_states/hand_motor_joint/effort,/hsrb/joint_states/hand_motor_joint/position,/hsrb/joint_states/hand_motor_joint/velocity,/hsrb/joint_states/hand_r_spring_proximal_joint/effort,/hsrb/joint_states/hand_r_spring_proximal_joint/position,/hsrb/joint_states/hand_r_spring_proximal_joint/velocity,/hsrb/joint_states/head_pan_joint/effort,/hsrb/joint_states/head_pan_joint/position,/hsrb/joint_states/head_pan_joint/velocity,/hsrb/joint_states/head_tilt_joint/effort,/hsrb/joint_states/head_tilt_joint/position,/hsrb/joint_states/head_tilt_joint/velocity,/hsrb/joint_states/header/seq,/hsrb/joint_states/header/stamp,/hsrb/joint_states/wrist_flex_joint/effort,/hsrb/joint_states/wrist_flex_joint/position,/hsrb/joint_states/wrist_flex_joint/velocity,/hsrb/joint_states/wrist_roll_joint/effort,/hsrb/joint_states/wrist_roll_joint/position,/hsrb/joint_states/wrist_roll_joint/velocity,/hsrb/pressure_sensor/data,/hsrb/wrist_wrench/compensated/header/seq,/hsrb/wrist_wrench/compensated/header/stamp,/hsrb/wrist_wrench/compensated/wrench/force/x,/hsrb/wrist_wrench/compensated/wrench/force/y,/hsrb/wrist_wrench/compensated/wrench/force/z,/hsrb/wrist_wrench/compensated/wrench/torque/x,/hsrb/wrist_wrench/compensated/wrench/torque/y,/hsrb/wrist_wrench/compensated/wrench/torque/z
1692021581.854818,1.682429,-0.256132,-0.000018,45.986075,0.166478,-0.000008,-0.253920,0.053772,0.000046,-0.010788,214.532576,-0.000653,0.026970,242.338016,0.001682,3.510720,6.555195,-0.007068,-1.866000,-0.043409,-0.018999,0.021700,1.221408,0.002954,-1.615000,0.003592,-0.007000,-0.007360,0.000000,-0.000138,-1.419429,0.000002,-0.000038,63261.000000,1692021581.845716,0.835886,-1.315242,-0.000048,-0.289143,-0.013650,0.000048,,,,,,,,,
1692021581.865686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125206.000000,1692021581.858683,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1692021581.872952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125207.000000,1692021581.868373,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1692021581.877642,2.054505,-0.256132,0.000381,45.986075,0.166478,-0.000008,-0.231840,0.053772,0.000046,-0.008091,214.532576,-0.000653,0.032364,242.338016,0.001900,3.499680,6.555205,-0.000094,-1.866000,-0.042228,-0.008000,0.021288,1.220227,0.000000,-1.611000,0.005772,0.007000,0.036800,0.000000,-0.000138,-1.373429,0.000002,-0.000038,63262.000000,1692021581.865706,0.778057,-1.315242,-0.000048,-0.336457,-0.013650,0.000048,,,,,,,,,
1692021581.888247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125208.000000,1692021581.878842,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1692021581.901855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125209.000000,1692021581.888458,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1692021581.901890,1.617720,-0.255748,-0.000060,46.277126,0.166478,-0.000008,-0.231840,0.053772,0.000046,-0.005394,214.532576,-0.000653,0.032364,242.338016,0.001781,3.665280,6.555205,-0.003958,-1.866000,-0.043227,-0.003000,0.021288,1.220227,-0.002363,-1.606000,0.007773,0.010999,-0.016560,0.000000,-0.000138,-1.281429,0.000002,-0.000038,63263.000000,1692021581.885716,0.920000,-1.315242,-0.000048,-0.310171,-0.013650,0.000048,,,,,,,,,
1692021581.916183,1.504480,-0.255748,-0.000060,46.277126,0.166478,-0.000008,-0.287040,0.053767,-0.000046,-0.008091,214.532576,-0.000653,0.008091,242.338016,0.001187,3.599040,6.555216,0.003225,-1.866000,-0.043227,-0.007000,0.021288,1.220227,-0.002363,-1.606000,0.007773,0.014999,0.025760,0.000000,-0.000138,-1.412857,0.000002,-0.000038,63264.000000,1692021581.895710,0.888457,-1.315242,-0.000048,-0.304914,-0.013269,0.000048,,,,,,,,,
1692021581.916206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125210.000000,1692021581.899526,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1692021581.916214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,,,,,,,,
1692021581.924562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125211.000000,1692021581.908539,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1692021581.924576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125212.000000,1692021581.918550,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1692021581.938132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125213.000000,1692021581.928625,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1692021581.938833,0.679443,-0.255748,0.001054,46.568177,0.166478,-0.000008,-0.281520,0.053767,-0.000046,-0.008091,214.532576,-0.000653,0.029667,242.337984,-0.002731,3.565920,6.555216,0.004722,-1.868000,-0.045819,0.003000,0.020471,1.220818,-0.002363,-1.605000,0.008181,0.018999,0.009200,0.000000,-0.000138,-1.334000,0.000002,-0.000038,63265.000000,1692021581.925708,0.972571,-1.315242,-0.000048,-0.404800,-0.013650,0.000048,,,,,,,,,
1692021581.944808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125214.000000,1692021581.938377,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1692021581.946447,1.002987,-0.255748,-0.000187,46.277126,0.166479,0.000039,-0.270480,0.053767,-0.000046,-0.008091,214.532576,-0.000653,0.026970,242.338016,0.001781,3.201600,6.555205,-0.002356,-1.866000,-0.044228,-0.017000,0.024975,1.220227,0.000590,-1.601000,0.009773,0.018999,0.018400,0.000000,-0.000138,-1.248571,0.000002,-0.000038,63266.000000,1692021581.935720,0.846400,-1.315242,-0.000048,-0.252343,-0.013650,0.000048,,,,,,,,,
1692021581.955029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125215.000000,1692021581.948940,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1692021581.969114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125216.000000,1692021581.958774,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1692021581.970348,2.313340,-0.256132,-0.000018,46.859228,0.166479,0.000365,-0.121440,0.053767,-0.000046,-0.008091,214.532576,-0.000653,-0.002697,242.337984,-0.002870,3.599040,6.555216,0.001466,-1.860000,-0.040455,-0.012000,0.014739,1.218454,-0.010636,-1.598000,0.010545,0.017000,-0.012880,0.000000,-0.000138,-1.248571,0.000002,-0.000038,63267.000000,1692021581.955713,0.914743,-1.315242,-0.000048,-0.215543,-0.013269,0.000048,,,,,,,,,
1692021581.980043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125217.000000,1692021581.968474,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1692021581.988105,0.938278,-0.255748,-0.000018,46.277126,0.166479,0.000008,-0.187680,0.053767,-0.000046,-0.008091,214.532576,-0.000653,0.000000,242.338016,0.001148,3.543840,6.555216,0.000324,-1.860000,-0.040455,-0.002000,0.021700,1.218454,-0.010636,-1.595000,0.012545,0.026000,0.009200,0.000000,-0.000138,-1.353714,0.000002,-0.000038,63268.000000,1692021581.975714,0.941029,-1.315242,-0.000048,-0.257600,-0.013650,0.000048,,,,,,,,,
1692021581.989599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125218.000000,1692021581.978964,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
